,root:Diseases:Digestive System Diseases:Gastrointestinal Diseases,root:Diseases:Digestive System Diseases:Liver Diseases,root:Diseases:Hemic and Lymphatic Diseases:Hematologic Diseases,root:Infections:Bacterial Infections and Mycoses:Bacterial Infections,Unknown
SRR5429200,0.009045988,0.0013586283,0.0008325279,0.0025393963,0.98622346
ERR525917,0.6936567,0.00037264824,0.00027886033,0.025621712,0.28007013
ERR011287,0.84664464,0.0025495589,0.0016194582,0.0291529,0.1200335
SRR5637786,0.010022908,0.0016237497,0.001503855,0.003645897,0.9832036
SRR1763576,0.9156769,0.022399992,0.001088053,0.009795457,0.051039696
SRR7507406,0.0077934563,0.0010482669,0.0009212196,0.002687484,0.98754954
SRR7507594,0.018099934,0.013917357,0.0017395616,0.003676802,0.9625664
SRR6724467,0.00771749,0.013070852,0.0013560057,0.005914986,0.97194064
SRR5196129,0.05226627,0.0018872023,0.0005348027,0.00412187,0.9411899
SRR1763600,0.72619057,0.009865105,0.00085940957,0.0073632896,0.25572157
SRR5343152,0.0073125362,0.00069975853,0.0007532239,0.0027670264,0.98846745
SRR5078696,0.020683527,0.0043570697,0.001060307,0.0019001663,0.97199893
SRR5761750,0.0072624087,0.0006997287,0.00077062845,0.00281021,0.988457
SRR5078853,0.007336855,0.00070506334,0.0007510781,0.0027597547,0.98844725
ERR718996,0.0073649883,0.0007200837,0.0007561445,0.0027632415,0.9883956
SRR5343106,0.007460773,0.00075635314,0.0007585287,0.0027463436,0.98827803
SRR5548709,0.9519983,0.035340086,0.0006656281,0.011996021,0.0
ERR719681,0.013797879,0.0015200973,0.001319617,0.004185319,0.9791771
SRR5580523,0.0141147375,0.0011671782,0.0016691387,0.0052530468,0.9777959
SRR5343156,0.0076733828,0.00085675716,0.0007908046,0.0027213097,0.9879577
SRR5549035,0.96090007,0.015413612,0.0006824136,0.008861989,0.014141917
ERR209892,0.009099215,0.0013034642,0.0008173883,0.0025327504,0.9862472
ERR321536,0.014183074,0.0012006462,0.0009964406,0.0034213364,0.9801985
SRR5763478,0.108379155,0.007071048,0.0013184547,0.0021626651,0.8810687
ERR209423,0.0136525035,0.0058443844,0.0014220476,0.0035561621,0.9755249
SRR5796735,0.7505389,0.0071821213,0.0006522238,0.0069004,0.23472631
SRR5934942,0.11192334,0.0012865365,0.0007519424,0.007811874,0.8782263
SRR5796725,0.8480065,0.0069753528,0.002041608,0.019073695,0.1239028
SRR5802290,0.008195251,0.0010271072,0.00075763464,0.0026284754,0.98739153
SRR1008941,0.95750856,0.03161767,0.0010297894,0.009001046,0.0008429289
ERR209568,0.01744625,0.0017619729,0.001104325,0.0026144385,0.977073
SRR6424708,0.02112931,0.0001911521,0.027768731,0.8865992,0.06431162
ERR209813,0.012408078,0.0010754168,0.0007600188,0.0032641888,0.9824923
SRR5429307,0.023437887,0.0015442967,0.38042897,0.18323678,0.41135204
SRR5866418,0.008565873,0.0012923181,0.0010012388,0.0027332604,0.9864073
SRR6182291,0.0073747635,0.0007221103,0.00075641274,0.002758652,0.98838806
SRR5803678,0.010109872,0.0011789203,0.0008532405,0.0026258528,0.9852321
SRR1999160,0.009640455,0.00059586763,0.0013890862,0.005925864,0.9824487
ERR720131,0.0077697337,0.0008905232,0.00084891915,0.0028934777,0.98759735
SRR5343216,0.007365942,0.0007571578,0.00080257654,0.0028176904,0.98825663
SRR6264904,0.01758939,0.0007323921,0.001203537,0.007439375,0.97303534
ERR525763,0.02376175,0.0011501312,0.0009098947,0.0036420822,0.9705361
SRR6264412,0.007314354,0.00070136786,0.0007546544,0.002769947,0.9884597
SRR5078762,0.019029915,0.00013840199,0.033717543,0.71863186,0.22848225
SRR5761679,0.0074411333,0.00074341893,0.000751704,0.0027413368,0.9883224
ERR209473,0.024168491,0.0014856458,0.0010098517,0.0031028986,0.9702331
SRR6331460,0.012468308,0.0018253326,0.002020359,0.004403025,0.979283
SRR5549047,0.8040631,0.0022311509,0.0006811619,0.010837883,0.18218672
SRR5651473,0.41749614,0.00016447902,0.032195747,0.4052702,0.14487344
SRR5758048,0.7981585,0.0010913908,0.0029169023,0.0549168,0.14291638
SRR5580465,0.02657029,0.0003644824,0.013286948,0.47025648,0.4895218
ERR719245,0.00950858,0.0012515187,0.0008547306,0.0025616884,0.9858235
ERR1823599,0.007864803,0.00089889765,0.0007882118,0.002729535,0.9877186
ERR720206,0.041807562,0.001044035,0.0005440712,0.005371541,0.9512328
SRR5429175,0.010362506,0.006843686,0.20037606,0.026744932,0.7556728
SRR5934933,0.024888366,0.0012531877,0.0006017685,0.0040029287,0.9692538
ERR209613,0.04548502,0.0017072856,0.001024127,0.0028536916,0.9489299
SRR5079006,0.007737905,0.00085896254,0.0007534325,0.002691269,0.98795843
SRR064890,0.9607729,0.027289689,0.0008151829,0.007906884,0.003215313
