,root:Diseases:Digestive System Diseases,root:Diseases:Hemic and Lymphatic Diseases,root:Infections:Bacterial Infections and Mycoses,Unknown
SRR6724406,0.8201513,0.07763013,0.00933978,0.0928787
ERR719857,0.04174915,0.009414166,0.008661479,0.9401752
SRR5548541,0.8201647,0.07760012,0.009327263,0.092907906
SRR5431255,0.04171738,0.009412825,0.008660704,0.9402091
SRR5758165,0.041920453,0.009450883,0.0090586245,0.93957007
ERR720074,0.041761845,0.009414852,0.008660972,0.9401623
SRR6264072,0.04171738,0.009412825,0.008660704,0.9402091
SRR6424677,0.030169522,0.1667211,0.8031094,0.0
ERR209728,0.05204287,0.009929359,0.008743584,0.9292842
SRR6264781,0.0417192,0.009412885,0.008660704,0.94020724
SRR5802234,0.176527,0.013437718,0.008790106,0.8012452
SRR6724378,0.820163,0.07759616,0.009324789,0.09291601
SRR5078766,0.04171735,0.0094129145,0.008660704,0.94020903
SRR2142209,0.5279192,0.031699806,0.014515877,0.42586517
SRR5796802,0.090964556,0.0934459,0.48870096,0.32688856
SRR6724552,0.04171738,0.009412825,0.008660704,0.9402091
SRR6724557,0.8201177,0.07762861,0.0093407035,0.09291297
SRR6182348,0.041758537,0.009414852,0.0086609125,0.9401657
SRR6264897,0.04171738,0.009412825,0.008660704,0.9402091
SRR5079211,0.04171738,0.009412825,0.008660704,0.9402091
SRR5078668,0.04171738,0.009412825,0.008660704,0.9402091
ERR719737,0.07164404,0.011110812,0.008901626,0.90834355
SRR5802289,0.041721016,0.009412974,0.008660823,0.9402052
SRR5802392,0.04171738,0.009412825,0.008660704,0.9402091
SRR5796813,0.820163,0.07759616,0.009324789,0.09291601
SRR6330921,0.04171747,0.0094129145,0.008660704,0.9402089
SRR5610129,0.04171756,0.0094129145,0.008660704,0.9402088
SRR5803668,0.041717857,0.009412885,0.008660704,0.94020855
SRR7507515,0.04278484,0.009513348,0.008958787,0.938743
SRR6265359,0.32140094,0.02905944,0.04997191,0.5995677
SRR6928812,0.043157637,0.009563595,0.009439945,0.9378388
SRR5813389,0.04171765,0.0094129145,0.008660704,0.94020873
SRR5758010,0.033792194,0.18130556,0.7849022,0.0
ERR719716,0.05139342,0.010085404,0.008683324,0.9298378
SRR6474209,0.0428012,0.009465933,0.008663148,0.93906975
SRR5020893,0.04743418,0.011057198,0.060804904,0.8807037
SRR1693267,0.81857574,0.077845424,0.009416521,0.094162285
SRR5629093,0.81738174,0.077078134,0.009342521,0.096197605
ERR634984,0.034657955,0.031582475,0.20256606,0.73119354
ERR719183,0.04285109,0.009479076,0.008710623,0.93895924
SRR5610127,0.041757643,0.009414464,0.008661717,0.9401662
SRR5218343,0.8199891,0.077561736,0.0093247,0.09312451
ERR695633,0.042343736,0.009444922,0.008683115,0.9395282
SRR5757869,0.03226909,0.15619883,0.8100811,0.0014509559
ERR719287,0.041730046,0.00941354,0.0086607635,0.9401957
SRR5649192,0.042677313,0.009459943,0.008662611,0.93920016
SRR5610049,0.041719317,0.009412885,0.0086607635,0.940207
SRR5648963,0.04171738,0.009412825,0.008660704,0.9402091
SRR5078745,0.04171738,0.009412825,0.008660704,0.9402091
SRR5020909,0.042527437,0.009470701,0.0086687505,0.9393331
SRR5637743,0.0417383,0.009414047,0.008660853,0.9401868
ERR209710,0.67560816,0.04899168,0.009183675,0.26621652
DRR092047,0.04171738,0.009412825,0.008660704,0.9402091
ERR525831,0.056118548,0.010118306,0.008761525,0.9250016
SRR1009033,0.820163,0.07759616,0.009324789,0.09291601
ERR526081,0.5352996,0.027693748,0.010610908,0.42639577
SRR6185171,0.041718006,0.009412944,0.008660704,0.9402083
ERR209455,0.041775256,0.009415537,0.008666724,0.9401425
SRR6264422,0.041736603,0.00941363,0.008661419,0.94018835
SRR1766087,0.041745096,0.009413898,0.008660734,0.9401803
SRR5548597,0.820163,0.07759616,0.009324789,0.09291601
ERR321153,0.04232773,0.009451479,0.008789897,0.9394309
SRR5983430,0.5493587,0.025015414,0.009001255,0.4166246
SRR6724426,0.820163,0.07759616,0.009324789,0.09291601
SRR6264741,0.04171762,0.0094129145,0.008660704,0.9402088
SRR7690207,0.042449534,0.009460926,0.008667439,0.93942213
SRR5648991,0.041763335,0.009415418,0.008660853,0.9401604
SRR5903321,0.041718215,0.009412885,0.008660704,0.9402082
SRR5079024,0.04171738,0.009412825,0.008660704,0.9402091
SRR5203129,0.041720122,0.009412974,0.0086607635,0.94020617
ERR719549,0.04287523,0.009467572,0.008708328,0.93894887
SRR6264048,0.041723758,0.00941357,0.00866738,0.9401953
