,root:Diseases:Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic diseases,root:Diseases:Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Inflammatory Bowel Diseases,root:Infections:Bacterial Infections and Mycoses:Bacterial Infections:Gram-Positive Bacterial Infections:Clostridium Infections,Unknown
SRR6724545,0.13134599,0.04968095,0.0109137,0.80805933
SRR5078975,0.0062757432,0.026259482,0.011613041,0.95585173
SRR6474271,0.007903695,0.32433575,0.015682876,0.6520777
SRR6265663,0.013356715,0.031086445,0.010822386,0.94473445
ERR525753,0.00624913,0.027927876,0.011737436,0.9540856
SRR5548490,0.08704113,0.66849834,0.2444605,0.0
SRR6281243,0.05339101,0.04527986,0.007776737,0.8935524
SRR6185275,0.014633626,0.028259307,0.009427607,0.94767946
SRR5757922,0.0071277022,0.13203788,0.61372447,0.24710995
SRR5431552,0.0062758625,0.026257098,0.011613429,0.9558536
SRR6264750,0.007346213,0.027684331,0.012136638,0.9528328
SRR5548580,0.0026617646,0.80736506,0.041953295,0.14801991
SRR5078756,0.0063305795,0.02630052,0.011623591,0.95574534
SRR5602232,0.00669384,0.095798105,0.17850545,0.7190026
SRR5648992,0.025198221,0.029004633,0.009522378,0.93627477
SRR5761694,0.059720278,0.030230522,0.007936418,0.9021128
SRR5429138,0.11898428,0.28365117,0.008921474,0.58844304
ERR719763,0.018300474,0.044133335,0.011134207,0.926432
SRR5648975,0.111649394,0.035406977,0.009179711,0.84376395
ERR525879,0.006097734,0.4264671,0.002940774,0.5644944
SRR5866517,0.016394079,0.15574676,0.007842481,0.8200167
SRR5803646,0.006276399,0.026257694,0.011613637,0.95585227
ERR526070,0.0083420575,0.5150595,0.012057006,0.4645415
SRR5802277,0.006659299,0.026322037,0.0114631355,0.95555556
SRR5079132,0.09645483,0.04466343,0.011606336,0.8472754
ERR719138,0.01056245,0.027716368,0.011167973,0.9505532
SRR7507537,0.006443143,0.026317656,0.011594564,0.9556446
ERR209493,0.031831175,0.08198848,0.008181602,0.8779987
