,root:Engineered:Food_production,root:Environmental:Aquatic,root:Environmental:Terrestrial,root:Host-associated:Birds,root:Host-associated:Fish,root:Host-associated:Human,root:Host-associated:Mammals,root:Host-associated:Plants,Unknown
ERR1598414,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1598883,0.004087173,0.00021883639,0.0041296096,0.0011775257,0.0046155467,0.9792056,0.0047853244,0.0017803853,0.0
ERR1599015,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1598428,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1598315,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1598116,0.004087317,0.00021874794,0.00412893,0.0011775838,0.004616073,0.9792072,0.004784026,0.0017800602,0.0
ERR1599326,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1599562,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1598107,0.0040871445,0.00021874817,0.0041296114,0.0011774967,0.0046154894,0.97920555,0.004785591,0.0017803271,0.0
ERR1598614,0.0040873457,0.00021868906,0.0041287825,0.0011775543,0.0046162196,0.97920746,0.0047839666,0.0017799718,0.0
ERR1598184,0.0040874043,0.00021868903,0.0041288408,0.0011775835,0.0046161897,0.9792074,0.004783819,0.0017800304,0.0
ERR1598100,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1599540,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1598969,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1598502,0.004087405,0.00021871849,0.004128812,0.0011775836,0.0046161315,0.9792075,0.0047838194,0.0017800307,0.0
ERR1598234,0.0040872875,0.00021877738,0.0041288123,0.0011775838,0.004616073,0.9792075,0.0047839377,0.0017800309,0.0
ERR1599485,0.004087376,0.00021871852,0.004128753,0.0011776426,0.004616132,0.97920763,0.004783761,0.001779972,0.0
ERR1598616,0.0040874053,0.00021868908,0.0041288123,0.0011775838,0.004616132,0.97920763,0.00478382,0.001779972,0.0
ERR1599031,0.0040874635,0.00021877735,0.0041287825,0.0011774953,0.0046161315,0.97920746,0.0047838194,0.0017800307,0.0
ERR1598191,0.0040874635,0.00021877735,0.0041287825,0.0011774953,0.0046161315,0.9792075,0.0047838194,0.0017800307,0.0
ERR1599106,0.004087318,0.00021868917,0.0041291374,0.0011775842,0.004615839,0.97920644,0.0047847633,0.0017801492,0.0
ERR1599487,0.0039642816,0.00073151605,0.0017959282,0.0027570473,0.001999604,0.903179,0.08459101,0.0009815223,0.0
ERR1598606,0.0047707,0.00023800589,0.002960018,0.0019321073,0.0025853973,0.94438934,0.041475683,0.0016487117,0.0
ERR1599208,0.0040889774,0.00021854417,0.0041282363,0.0011782728,0.004612118,0.9791934,0.0047997907,0.0017806082,0.0
ERR2189104,0.79258275,0.06706659,0.009896501,0.015744526,0.05527423,0.03482064,0.0007911268,0.023823645,0.0
ERR2189708,0.79258275,0.06706659,0.009896501,0.015744526,0.05527423,0.03482064,0.0007911268,0.023823645,0.0
ERR2189763,0.79258275,0.06706659,0.009896501,0.015744526,0.05527423,0.03482064,0.0007911268,0.023823645,0.0
ERR2189074,0.79258275,0.06706659,0.009896501,0.015744526,0.05527423,0.03482064,0.0007911268,0.023823645,0.0
ERR2189513,0.79258275,0.06706659,0.009896501,0.015744526,0.05527423,0.03482064,0.0007911268,0.023823645,0.0
ERR2189416,0.79258275,0.06706659,0.009896501,0.015744526,0.055274285,0.03482064,0.0007911268,0.023823645,0.0
ERR2189168,0.7925826,0.067066625,0.009896497,0.015744576,0.055274323,0.034820627,0.00079109904,0.023823665,0.0
ERR2189750,0.79258275,0.06706659,0.009896501,0.015744526,0.05527423,0.03482064,0.0007911268,0.023823645,0.0
ERR2189517,0.79258275,0.06706659,0.009896501,0.015744526,0.05527423,0.03482064,0.0007911268,0.023823645,0.0
ERR2189414,0.79258263,0.06706658,0.009896499,0.015744524,0.055274278,0.034820635,0.0007911267,0.02382367,0.0
ERR2189220,0.79258114,0.06706657,0.009896473,0.015744759,0.055274878,0.034820873,0.0007911246,0.023824185,0.0
ERR2189490,0.79258275,0.06706659,0.009896501,0.015744526,0.05527423,0.03482064,0.0007911268,0.023823645,0.0
ERR2189396,0.79258275,0.06706659,0.009896501,0.015744526,0.05527423,0.03482064,0.0007911268,0.023823645,0.0
ERR2188911,0.79258275,0.06706659,0.009896501,0.015744526,0.05527423,0.03482064,0.0007911268,0.023823645,0.0
ERR2189078,0.79258275,0.06706659,0.009896501,0.015744526,0.05527423,0.03482064,0.0007911268,0.023823645,0.0
ERR2189323,0.7925828,0.06706664,0.009896504,0.015744532,0.055274084,0.034820653,0.0007910995,0.023823652,0.0
ERR2189268,0.79258275,0.06706659,0.009896501,0.015744526,0.05527423,0.03482064,0.0007911268,0.023823645,0.0
